,Name,gender,is alive,age,Death_Probability
325,Kim Alexis,Female,yes,54,0.00403
328,Kristian Alfonso,Female,yes,50,0.00281
329,Mimi Alford,Female,yes,71,0.02103
335,Ayaan Hirsi Ali,Female,yes,45,0.00201
336,Laila Ali,Female,yes,37,0.0011300000000000001
338,Tatyana Ali,Female,yes,35,0.0009400000000000001
339,Mary Alice,Female,yes,73,0.02511
340,Princess Alice,Female,no,103,0.40531
341,Ana Alicia,Female,yes,58,0.00604
343,Angela Alioto,Female,yes,65,0.01201
345,Dorothy Alison,Female,no,67,0.01456
352,Elizabeth Allan,Female,no,82,0.06182000000000001
358,Louise Allbritton,Female,no,59,0.006659999999999999
361,Barbara Jo Allen,Female,no,68,0.01594
365,Christa B. Allen,Female,yes,23,0.00043
370,Debbie Allen,Female,yes,64,0.010879999999999999
371,Deborah Allen,Female,yes,61,0.00811
372,Dede Allen,Female,no,85,0.08559
374,Elizabeth Allen,Female,no,77,0.036489999999999995
381,Joan Allen,Female,yes,58,0.00604
382,Jonelle Allen,Female,yes,70,0.019119999999999998
383,Karen Allen,Female,yes,63,0.00987
385,Krista Allen,Female,yes,42,0.0016899999999999999
386,Laura Allen,Female,yes,40,0.00146
389,Lily Allen,Female,yes,29,0.00055
392,Maryon Allen,Female,yes,89,0.13354000000000002
395,Nancy Allen,Female,yes,64,0.010879999999999999
411,Isabel Allende,Female,yes,72,0.023030000000000002
412,Kirstie Alley,Female,yes,63,0.00987
414,Margery Allingham,Female,no,62,0.00895
416,Fran Allison,Female,no,82,0.06182000000000001
431,Gloria Allred,Female,yes,73,0.02511
434,Astrid Allwyn,Female,no,73,0.02511
435,June Allyson,Female,no,89,0.13354000000000002
445,Alicia Alonso,Female,yes,94,0.22268000000000002
448,Maria Conchita Alonso,Female,yes,57,0.00547
452,Susan Mary Alsop,Female,no,86,0.09561
454,Carol Alt,Female,yes,54,0.00403
457,Ann Althouse,Female,yes,63,0.00987
465,Donna M. Alvarado,Female,yes,66,0.01325
467,Trini Alvarado,Female,yes,47,0.00229
469,Moniza Alvi,Female,yes,60,0.00734
474,Maryanne Amacher,Female,no,66,0.01325
480,Christiane Amanpour,Female,yes,56,0.00495
481,Lucine Amara,Female,yes,90,0.14886
487,Lauren Ambrose,Female,yes,36,0.0010400000000000001
488,Rona Ambrose,Female,yes,45,0.00201
490,Alessandra Ambrosio,Female,yes,33,0.0007700000000000001
497,Amerie,Female,yes,34,0.00086
498,Adrienne Ames,Female,no,40,0.00146
502,Mädchen Amick,Female,yes,44,0.0019
503,Barbara Amiel,Female,yes,74,0.027360000000000002
511,Suzy Amis,Female,yes,52,0.0033200000000000005
516,Tori Amos,Female,yes,51,0.0030399999999999997
519,Eva Amurri,Female,yes,29,0.00055
523,Elena Anaya,Female,yes,39,0.00134
526,Allison Anders,Female,yes,60,0.00734
527,Andrea Anders,Female,yes,39,0.00134
529,Luana Anders,Female,no,58,0.00604
530,Merry Anders,Female,no,80,0.04965
534,Barbara Anderson,Female,yes,69,0.017419999999999998
545,Emma Anderson,Female,yes,47,0.00229
546,Eugenie Anderson,Female,no,88,0.11955
549,Gillian Anderson,Female,yes,46,0.00214
564,Juliet Anderson,Female,no,72,0.023030000000000002
568,Laurie Anderson,Female,yes,67,0.01456
572,Loni Anderson,Female,yes,68,0.01594
574,Lynn Anderson,Female,yes,67,0.01456
575,Mary Anderson,Female,no,94,0.22268000000000002
576,Melissa Sue Anderson,Female,yes,52,0.0033200000000000005
579,Pamela Anderson,Female,yes,47,0.00229
585,Regina M. Anderson,Female,no,92,0.18337
606,Bibi Andersson,Female,yes,79,0.04462
607,Harriet Andersson,Female,yes,82,0.06182000000000001
617,Ursula Andress,Female,yes,78,0.040310000000000006
628,Julie Andrews,Female,yes,79,0.04462
629,LaVerne Andrews,Female,no,56,0.00495
631,Maxene Andrews,Female,no,79,0.04462
634,Patty Andrews,Female,no,95,0.24316
644,Heather Angel,Female,no,77,0.036489999999999995
645,Pier Angeli,Female,no,39,0.00134
646,Mother Angelica,Female,yes,91,0.16549
648,Eva Angelina,Female,yes,29,0.00055
651,Maya Angelou,Female,no,86,0.09561
653,Natalie Angier,Female,yes,56,0.00495
655,Jennifer Aniston,Female,yes,45,0.00201
658,Evelyn Ankers,Female,no,67,0.01456
659,Keren Ann,Female,yes,40,0.00146
660,Ann-Margret,Female,yes,73,0.02511
661,Annabella,Female,no,87,0.10690999999999999
666,Princess Anne,Female,yes,64,0.010879999999999999
667,Leonore Annenberg,Female,no,91,0.16549
669,Francesca Annis,Female,yes,70,0.019119999999999998
673,Anousheh Ansari,Female,yes,48,0.00244
678,Susan Anspach,Female,yes,72,0.023030000000000002
686,Barbara Cox Anthony,Female,no,85,0.08559
689,Casey Anthony,Female,yes,28,0.0005200000000000001
691,Lysette Anthony,Female,yes,51,0.0030399999999999997
698,Robin Antin,Female,yes,53,0.00365
700,Susan Anton,Female,yes,64,0.010879999999999999
701,Laura Antonelli,Female,yes,73,0.02511
704,Gabrielle Anwar,Female,yes,44,0.0019
705,Devon Aoki,Female,yes,32,0.0007
709,Virginia Apgar,Female,no,65,0.01201
711,Apollonia,Female,yes,55,0.00447
718,Fiona Apple,Female,yes,37,0.0011300000000000001
720,Shiri Appleby,Female,yes,36,0.0010400000000000001
721,Christina Applegate,Female,yes,43,0.0018
723,Natalie Appleton,Female,yes,41,0.00158
724,Nicole Appleton,Female,yes,40,0.00146
725,Rachel Appleton,Female,yes,22,0.00042
733,Corazon Aquino,Female,no,76,0.03305
738,María Asunción Aramburuzabala,Female,yes,51,0.0030399999999999997
748,Diane Arbus,Female,no,48,0.00244
751,Anne Archer,Female,yes,67,0.01456
752,Beverly Archer,Female,yes,66,0.01325
761,Leila Arcieri,Female,yes,41,0.00158
764,Fanny Ardant,Female,yes,65,0.01201
765,Eve Arden,Female,no,82,0.06182000000000001
774,Hannah Arendt,Female,no,69,0.017419999999999998
